PersonID,Number,HeightInches,WeightPounds,Position,AcademicYear,HighSchool
185,74,76,292,OL,R-Jr.,Redwood HS
186,76,76,294,OL,R-Jr.,Folsom HS
187,78,76,318,OL,Fr.,Oceanside HS
188,80,76,222,TE,Fr.,Santa Margarita Catholic HS
189,83,#VALUE!,6-11,Fr.,10-May,Lincoln HS
190,84,74,203,WR,Fr.,San Diego HS
191,85,77,231,TE,R-So.,Vista Murrieta HS
192,94,73,339,DT,R-Jr.,Bishop Alemany HS
193,66,75,315,OL,R-Fr.,IMG Academy [Fla.]
194,35,73,212,CB,Fr.,IMG Academy
195,11,73,222,QB,R-Fr.,Macon County HS
196,82,75,224,TE,Fr.,Johns Creek HS
197,75,75,323,OT,R-So.,Kaiser HS
198,30,70,184,K/P,Gr.,Highland Park HS
199,3,73,180,S,R-So.,John Ehret HS
200,4,70,204,CB,R-So.,East St. John HS
201,6,70,188,WR,Sr.,Calvary Baptist Academy
202,8,71,195,CB,Gr.,Desert Pines HS
203,70,77,308,OL,R-So.,DePaul Catholic
204,81,75,263,DE,R-So.,Canton HS
205,81,75,252,TE,So.,Saline HS
206,87,74,189,WR,Fr.,Hun HS
207,1,73,230,LB,So.,"Desert Pines, HS"
208,23,73,174,CB,R-Fr.,Bishop Gorman
209,72,77,287,OL,R-Fr.,Desert Pines HS
210,86,75,259,DE,R-Jr.,Coronado HS
211,23,73,206,RB,So.,St. Frances Academy
212,5,73,209,S,Fr.,Foster HS
213,9,74,216,S,Fr.,West Mesquite HS
214,16,69,187,WR,Fr.,St. Pius X HS
215,20,69,175,RB,Fr.,Dawson HS
216,31,73,194,S,Jr.,Andress HS
217,33,71,184,S,R-Fr.,Lovejoy HS
218,66,71,213,LS,Fr.,Wimberley HS
219,88,75,190,WR,Fr.,Wakeland HS
220,89,70,194,WR,Fr.,St. Pius X HS
221,71,74,300,DL,R-Jr.,Tafuna HS
222,27,70,177,CB,R-Jr.,Gonzaga College HS
223,40,74,204,WR,R-So.,Radford HS
224,53,76,301,OL,R-So.,The Taft School
225,12,75,210,QB,Fr.,St. John's College HS
226,91,76,325,DL,So.,Westview (OR)
227,1,73,190,WR,R-So.,"Saraland, AL"
228,52,73,220,ILB,Fr.,St. John Bosco
229,36,77,210,P,R-Sr.,San Francisco CC
230,21,76,200,S,R-Fr.,Mountain Pointe HS
231,26,73,200,WR,Fr.,Saguaro HS
232,64,77,320,OT,Fr.,Red Mountain HS
233,73,78,305,OT,So.,North Canyon
234,90,79,260,DL,Jr.,Brophy Prep
235,2,76,205,WR,Fr.,Antelope Valley HS
236,4,73,180,CB,Fr.,Mission Viejo HS
237,4,71,170,QB,Fr.,La Jolla HS
238,6,76,215,WR,Jr.,Oaks Christian
239,6,74,205,CB,Fr.,Helix HS
240,7,73,205,TB,So.,Summit
241,7,74,195,S,Sr.,Crespi
242,8,73,205,CB,Sr.,Long Beach Poly
243,8,73,195,WR,Fr.,Mater Dei
244,9,71,190,CB,R-Fr.,Hawkins
245,10,75,220,ILB,R-Jr.,Serra
246,10,75,205,QB,R-Fr.,San Clemente
247,13,76,215,QB,Fr.,Oaks Christian
248,13,71,170,WR,R-So.,Bishop Amat
249,16,69,190,CB-TB,R-Jr.,Bishop Alemany
250,16,78,200,QB,R-So.,Brentwood HS
251,17,74,190,CB,Fr.,Roosevelt HS
252,18,75,210,QB,Fr.,Mater Dei
253,18,74,230,ILB,Fr.,Narbonne HS
254,19,75,200,QB,R-So.,Glendora
255,21,74,185,WR,R-So.,Bishop Amat
256,23,71,180,CB,R-Sr.,Mater Dei
257,24,73,175,CB,Sr.,Foothill
258,24,71,175,WR,R-Jr.,San Clemente
259,27,70,185,CB,R-Sr.,Crenshaw
260,28,73,190,S,R-So.,Serra
261,30,71,200,S,Fr.,Loyola HS
262,31,77,240,OLB,R-Fr.,Cathedral
263,31,73,195,S,R-So.,Bishop's School
264,34,74,190,WR,R-Fr.,Brentwood
265,35,74,250,ILB,Sr.,Granite Bay
266,36,73,185,WR,R-Fr.,Loyola
267,37,70,210,S,R-Sr.,St. Bonaventure
268,39,73,210,SNP,Fr.,Loyola HS
269,39,73,235,TB,R-Fr.,Cathedral HS
270,40,70,205,TB,Jr.,Liberty HS
271,40,73,195,PK,So.,Mater Dei
272,42,76,240,OLB,Fr.,JSerra Catholic HS
273,44,74,280,DL,R-Sr.,St. John Bosco
274,46,71,185,P,R-Sr.,St. John Bosco
275,47,76,185,P,R-Sr.,Dana Hills
276,47,73,230,ILB-FB,R-Sr.,Loyola
277,49,73,215,ILB,R-Jr.,St. Francis
278,49,73,195,PK,R-So.,Linfield Christian
279,50,75,295,C-OT,R-Sr.,La Habra
280,51,78,290,OT,R-So.,Lakewood HS
281,52,76,315,OG,R-Jr.,Clovis North
282,53,75,225,ILB,R-Fr.,Bishop Montgomery
283,54,77,310,OT,R-Fr.,Clayton Valley
284,56,77,290,OG,R-Sr.,Claremont
285,57,74,290,C,Fr.,Chaparral HS
286,58,75,240,ILB,Fr.,Mater Dei
287,59,73,230,ILB,R-Sr.,Palisades Charter
288,59,73,205,SNP,R-So.,Citrus JC
289,61,75,225,SNP,R-Jr.,Orange Lutheran
290,62,74,295,C,R-Fr.,Santa Margarita
291,65,76,300,OG,R-So.,Mater Dei
292,67,75,260,C,Fr.,Laguna Hills HS
293,68,77,290,OT,Fr.,Harvard Westlake HS
294,72,78,315,OG-OT,So.,Kingsburg
295,75,76,310,OG-OT,R-Fr.,Bishop O'Dowd
296,76,77,295,OT,R-Jr.,Servite
297,77,77,310,OG,R-Sr.,Loyola
298,82,76,250,TE,Sr.,Campolindo
299,83,78,230,TE,So.,Inderkum
300,84,77,255,TE,So.,Monte Vista
301,89,76,275,DL,R-Jr.,Loyola
302,93,76,290,DL,R-So.,Huntington Beach
303,96,77,270,DL,Jr.,Vintage HS
304,85,71,170,WR,R-So.,Miami Senior
305,97,77,270,DL,R-Fr.,Cypress Bay
306,17,74,215,WR,R-So.,North Gwinnett
307,70,76,295,OT,Sr.,McEachern
